TailNumber,Origin,Destination,TravelDate,TotalFlightTime,Revenue,FirstName,LastName,Passport
C2888,JFK,FLL,07-04-2021,9,384.93,Jay,Singh,P-64549526
H3059,DEN,IAH,17-08-2021,2,216.11,Russell,Constantine,H-44102824
J2465,SEA,DTW,03-02-2021,6,195.73,Jay,Singh,P-64549526
A2975,MCO,FLL,12-08-2021,1,351.65,Phil,Hawkins,R-68106487
C2386,SEA,FLL,29-06-2021,2,211.72,Russell,Constantine,H-44102824
G2971,ATL,MIA,23-11-2020,9,166.93,Phil,Hawkins,R-68106487
O2378,SEA,EWR,09-09-2021,1,310.64,Phil,Singh,D-61495909
C2386,DFW,MIA,17-12-2020,5,454.54,Mary,Singh,A-69169562
Y2161,DFW,PHX,05-04-2021,5,111.92,Billy,Kohli,J-42970426
C2750,JFK,PHX,02-06-2021,5,400.23,Billy,Kohli,J-42970426
P2752,ATL,FLL,20-04-2021,8,208.62,Heather,Singh,S-26384273
T2366,LAS,FLL,13-01-2021,5,318.32,Phil,Hawkins,R-68106487
T2335,ORD,BOS,14-08-2021,4,121.53,Phil,Singh,D-61495909
C2896,LAS,MIA,11-03-2021,4,274.73,Jay,Singh,P-64549526
C2888,ATL,MIA,27-02-2021,4,239.21,Jay,Singh,P-64549526
T2366,DFW,BOS,05-10-2021,4,381.61,Russell,Constantine,H-44102824
C2896,JFK,MIA,24-12-2020,8,56,Billy,Kohli,J-42970426
P2752,LAX,DTW,19-04-2021,7,408.5,Mary,Singh,A-69169562
A2975,LAX,MSP,29-10-2020,10,415.01,Phil,Hawkins,R-68106487
A2975,LAS,FLL,26-03-2021,10,327.62,Russell,Constantine,H-44102824
S2869,SFO,BOS,04-12-2020,7,137.77,Phil,Hawkins,R-68106487
P2752,DEN,DTW,16-08-2021,6,123.35,Russell,Constantine,H-44102824
O2378,LAX,DTW,21-07-2021,4,167.7,Jay,Singh,P-64549526
Y2161,MCO,PHX,03-11-2020,5,176.49,Jay,Singh,P-64549526
C2386,LAX,BOS,06-07-2021,9,76.26,Phil,Hawkins,R-68106487
C2750,LAS,FLL,30-08-2021,6,184.03,Billy,Kohli,J-42970426
N2252,LAX,CLT,07-10-2020,1,253.77,Heather,Singh,S-26384273
A2975,JFK,DTW,02-06-2021,6,388.21,Heather,Singh,S-26384273
F2838,JFK,PHX,14-01-2021,8,126.62,Russell,Constantine,H-44102824
Z2357,JFK,BOS,20-11-2020,1,242.33,Robert,Banner,U-49850866
P2752,JFK,IAH,14-11-2020,9,269.64,Phil,Hawkins,R-68106487
C2990,LAX,PHL,26-08-2021,3,351.89,Heather,Singh,S-26384273
S2869,DFW,IAH,13-01-2021,7,228.67,Phil,Hawkins,R-68106487
S2869,ORD,PHL,16-04-2021,10,165.12,Mary,Singh,A-69169562
C2896,DFW,MIA,05-11-2020,5,106.56,Phil,Singh,D-61495909
C2888,ATL,PHX,24-12-2020,7,222.38,Phil,Singh,D-61495909
N2252,MCO,DTW,08-12-2020,9,472.18,Heather,Singh,S-26384273
C2896,ORD,IAH,04-07-2021,4,165.61,Russell,Constantine,H-44102824
F2838,SFO,CLT,13-04-2021,6,214.79,Heather,Singh,S-26384273
R2852,SEA,FLL,18-08-2021,8,205.33,Jay,Singh,P-64549526
O2378,ORD,MIA,11-04-2021,2,478.7,Mary,Singh,A-69169562
H3059,ORD,DTW,08-05-2021,4,297.21,Phil,Singh,D-61495909
F2838,JFK,CLT,14-04-2021,6,184.6,Robert,Banner,U-49850866
G2971,MCO,IAH,03-10-2021,9,332.32,Jay,Singh,P-64549526
C2386,ORD,DTW,04-02-2021,1,448.59,Billy,Kohli,J-42970426
H3059,SEA,FLL,28-06-2021,8,89.63,Jay,Singh,P-64549526
Z2357,MCO,BOS,31-01-2021,5,126.62,Mary,Singh,A-69169562
P2752,DEN,MSP,31-10-2020,9,111.18,Billy,Kohli,J-42970426
O2349,MCO,MIA,12-05-2021,1,178.52,Phil,Hawkins,R-68106487
C2386,SFO,DTW,15-06-2021,10,279.32,Robert,Banner,U-49850866
P2752,JFK,IAH,31-12-2020,9,459.51,Heather,Singh,S-26384273
S2869,DFW,IAH,18-06-2021,1,322.02,Heather,Singh,S-26384273
H3059,ORD,BOS,26-04-2021,7,244.18,Mary,Singh,A-69169562
C2888,LAS,DTW,30-07-2021,6,481.26,Mary,Singh,A-69169562
G2971,LAS,CLT,12-10-2020,2,375.27,Russell,Constantine,H-44102824
C2896,SEA,MSP,08-08-2021,10,85.8,Russell,Constantine,H-44102824
G2971,JFK,IAH,24-10-2020,8,251.91,Mary,Singh,A-69169562
H3059,JFK,MSP,03-02-2021,8,371.93,Jay,Singh,P-64549526
G2971,LAS,EWR,17-05-2021,5,190.41,Robert,Banner,U-49850866
F2838,LAX,MSP,14-01-2021,9,203.42,Phil,Singh,D-61495909
J2465,SEA,EWR,01-04-2021,5,123.26,Robert,Banner,U-49850866
T2366,DEN,MSP,27-12-2020,9,403.82,Heather,Singh,S-26384273
P2752,SEA,BOS,27-12-2020,8,203.5,Robert,Banner,U-49850866
N2252,JFK,EWR,05-06-2021,7,197.41,Robert,Banner,U-49850866
J2465,MCO,CLT,17-11-2020,8,324.69,Jay,Singh,P-64549526
P2752,ORD,FLL,10-03-2021,5,222.8,Phil,Hawkins,R-68106487
G2971,SFO,IAH,17-07-2021,3,80.99,Russell,Constantine,H-44102824
C2896,DEN,BOS,11-05-2021,10,219.85,Phil,Hawkins,R-68106487
J2465,LAS,PHL,12-03-2021,9,98.06,Heather,Singh,S-26384273
O2349,ORD,PHX,11-08-2021,1,303.6,Heather,Singh,S-26384273
P2752,LAS,FLL,07-10-2020,5,278.63,Jay,Singh,P-64549526
S2869,SFO,CLT,16-08-2021,2,205.4,Robert,Banner,U-49850866
A2975,DFW,BOS,06-05-2021,9,278.27,Billy,Kohli,J-42970426
G2971,DFW,CLT,03-11-2020,1,250.98,Phil,Hawkins,R-68106487
J2465,DEN,BOS,24-07-2021,1,275.36,Phil,Singh,D-61495909
